sentiment,text
3,Intel &amp; Jesse Jackson's RainbowPUSH to host tech employee diversity event in Silicon Valley http://t.co/uoikARpqK8 #intc #goog #aapl #fb
1,@apple how/why did my iCal undo 6 months of entries related to recurring date entries? they all re-set to 'pay CC'. i had changed to $amnt..
5,Way to go @apple http://t.co/Mcgsyxs9Eq
1,Just watched my dad struggle to answer a call because his #iPhone wouldn't let him answer. Great job on #iOS @Apple!!! Not...
1,@apple iCal AGAIN!!! it reset all my recurring in spite of months of individualizing each one per current date. #fail #icloud #sucking
3,Thinking of leaving the @Apple environment completely. Thoughts?
3,Aye @apple why don't you guys make the apple headphones in different colors?
3,GVA lounge: in sight 6 Macs and 3 PCs + undetermined number of iPxs! #AAPL
3,RT @RHDrum: Aye @apple why don't you guys make the apple headphones in different colors?
5,Love the @Apple is supporting #HourOfCode with workshops! :) http://t.co/WP8D0FNjNu
3,"#iPhone6c release date, #rumours and #leaked images: @Apple [#Apple] said to #be working .... (#Friday, 5 #Decem... http://t.co/76QIXLKyS3"
5,RT @shannonmmiller: Love the @Apple is supporting #HourOfCode with workshops! :) http://t.co/WP8D0FNjNu
5,RT @shannonmmiller: Love the @Apple is supporting #HourOfCode with workshops! :) http://t.co/WP8D0FNjNu
5,RT @shannonmmiller: Love the @Apple is supporting #HourOfCode with workshops! :) http://t.co/WP8D0FNjNu
5,RT @shannonmmiller: Love the @Apple is supporting #HourOfCode with workshops! :) http://t.co/WP8D0FNjNu
3,It's important that Apple not become the developer for the world. We need people to invent their own stuff.' - Tim Cook CEO of @Apple
5,RT @shannonmmiller: Love the @Apple is supporting #HourOfCode with workshops! :) http://t.co/WP8D0FNjNu
5,RT @shannonmmiller: Love the @Apple is supporting #HourOfCode with workshops! :) http://t.co/WP8D0FNjNu
3,GoPro Inc Has Potential To Become Apple Inc. Of Drone Market http://t.co/HNkZs5kAwx #AAPL
5,RT @shannonmmiller: Love the @Apple is supporting #HourOfCode with workshops! :) http://t.co/WP8D0FNjNu
1,Wanted the @apple iPhone 6 but that lighting charger made me go to an @windows @nokia 1020.
3,"RT @OneRepublic: Studio at 45,000 ft.  One outlet,  4 computers.  @Apple we need the batteries of the future NoW!!!! http://t.co/astp9x6KET"
3,"Steve Hayman, @Apple National Consulting Engineer, presents on app development at #umich. http://t.co/51yinIrNoc"
3,Will #Apple Pay Consumers $1 Billion For Deleting Their Music?: Apple Inc. (NASDAQ: #AAPL) is currently embroi... http://t.co/NEJKr316Eb
3,"Early Movers: BIG, DLTR, THI, #AAPL, FIVE &amp; more: These are the stocks posting the largest moves before the bell. http://t.co/GBlMWzOcQO"
5,RT @shannonmmiller: Love the @Apple is supporting #HourOfCode with workshops! :) http://t.co/WP8D0FNjNu
1,@allandthompson @Apple Let me just go ahead and get this one out of the way: 'U gonna get a VIRUS &amp; ur whole house will explode!'
3,"RT @OneRepublic: Studio at 45,000 ft.  One outlet,  4 computers.  @Apple we need the batteries of the future NoW!!!! http://t.co/astp9x6KET"
1,"Zuckerberg attacks: If Apple really cared about customers, iPhones would cost less $AAPL #aapl
http://t.co/xG4cpjwXKH"
5,RT @shannonmmiller: Love the @Apple is supporting #HourOfCode with workshops! :) http://t.co/WP8D0FNjNu
5,RT @shannonmmiller: Love the @Apple is supporting #HourOfCode with workshops! :) http://t.co/WP8D0FNjNu
3,You'll Be Able To Learn How To Code For Free Next Week At Your Nearest @Apple Store!  http://t.co/8xHh2SLC4X
3,You'll Be Able To Learn How To Code For Free Next Week At Your Nearest @Apple Store!  http://t.co/fUeCICPn2z
5,RT @shannonmmiller: Love the @Apple is supporting #HourOfCode with workshops! :) http://t.co/WP8D0FNjNu
3,RT @RaviMikkelsen: @HRHound @MandoGallegos Nice! If the actor had on an iWatch he'd have the entire suite of @Apple products. #sponsorDeal
3,"Apple Adds New Flyover Locations to Maps, Siri Movie Showtimes in More Countries [iOS Blog] http://t.co/758TjE7alk #AAPL"
3,Helping you &amp; your loved ones on the street with our free @Apple app #Winnipeg #Acura http://t.co/ieR7gZcLRo
5,RT @shannonmmiller: Love the @Apple is supporting #HourOfCode with workshops! :) http://t.co/WP8D0FNjNu
3,"#AAPL $BABA &amp; $TWTR are having their 9 &amp; 1/2 % day https://t.co/ssk6R6hzba
.. they fooling around -- NOT on their magic carpet. next week/s"
3,"Plaintiff withdrawn in iPod antitrust lawsuit $AAPL #aapl
http://t.co/ncmRj5QUqL"
5,RT @shannonmmiller: Love the @Apple is supporting #HourOfCode with workshops! :) http://t.co/WP8D0FNjNu
3,"RT @JPDesloges: Plaintiff withdrawn in iPod antitrust lawsuit $AAPL #aapl
http://t.co/ncmRj5QUqL"
1,"My keyboard only ever freezes up when I'm trying to talk to Ian, @apple why do u hate the sophian"
3,"Apple entering era of security fear-mongering... from security vendors $AAPL #aapl
http://t.co/X8VJxj0hD3"
3,"APPLE - Fibonacci Technicals Levels - Intraday  Update - $AAPL #aapl 
http://t.co/Z2BQWXee44"
1,"2nd day with my new iPhone, WTF @Apple ?!
In switching to @SamsungMobileUS http://t.co/Vz95pDWzEe"
3,Learn How To Code For Free On 12/11 At Your Nearest .@Apple Store &lt; Excellent! #tech #latism http://t.co/Ca3h33hQpR
5,RT @shannonmmiller: Love the @Apple is supporting #HourOfCode with workshops! :) http://t.co/WP8D0FNjNu
3,"#AAPL:UBS Increases Apple's iPhone 6 Sales, Revenue And EPS...http://t.co/9yxtPhyN1s"
5,#iPhone5s is the best mobile that I have had. That's easy It is only that works and It is wonderfull! Thanks @apple @tim_cook
1,Wut? @apple can I have my money back? kthx http://t.co/zVp7MUZDAM
1,took me an hour (half of it was decided in a bubble bath) that I cannot download iOS 8. I hate you @apple @EE
3,"What is HomeKit? Soon you'll control your home with your iPhone $AAPL #aapl
http://t.co/16qbQo1PRK"
3,"RT @JPDesloges: What is HomeKit? Soon you'll control your home with your iPhone $AAPL #aapl
http://t.co/16qbQo1PRK"
1,@calemcmartin blame @apple
5,"Dude, @apple is all over the marketing for beats. They have a great marketing team at apple."
3,Watch out @Apple.  http://t.co/B3Uq7YeDlx
1,why don't we have harry potter emojis please work on this @Apple
3,RT @cruci0btch: why don't we have harry potter emojis please work on this @Apple
1,RT @cruci0btch: why don't we have harry potter emojis please work on this @Apple
1,RT @cruci0btch: why don't we have harry potter emojis please work on this @Apple
1,RT @cruci0btch: why don't we have harry potter emojis please work on this @Apple
1,RT @cruci0btch: why don't we have harry potter emojis please work on this @Apple
5,RT @shannonmmiller: Love the @Apple is supporting #HourOfCode with workshops! :) http://t.co/WP8D0FNjNu
3,TWDanceCenter #UrbanNutcracker @Apple Store in Boylston St. @ 6.30pm. Enjoy some #krumping . Meet the director &amp; @RussellFerg
3,RT @cruci0btch: why don't we have harry potter emojis please work on this @Apple
1,RT @cruci0btch: why don't we have harry potter emojis please work on this @Apple
1,RT @cruci0btch: why don't we have harry potter emojis please work on this @Apple
3,@Apple honey crisp apple for the win
1,@apple had a dream last night where I downgraded my #iPhone to a 4S and spent the rest of the dream trying to figure out what to do. #shame
3,RT @cruci0btch: why don't we have harry potter emojis please work on this @Apple
3,"Apple Stock: Is Push Into India Too Little Too Late? $AAPL #aapl
http://t.co/M9kOVlEikb"
3,RT @cruci0btch: why don't we have harry potter emojis please work on this @Apple
3,Apple Inc. (AAPL) Focuses On Larger Indian Market Share http://t.co/o9RU1Lv1V8 #AAPL
3,I really want @apple to drop the word BOOK from products so employees will start treating machines with more care. aka stop dropping them.
3,"APPLE - Fibonacci Technicals Levels - LAST  Intraday  Update - $AAPL #aapl 
http://t.co/OeYEqn72er"
3,#WearableDevices To #Consumers : You're Putting Me On - http://t.co/2eSSgN5Wsv #IBDNews via @IBDinvestors  #aapl #nke #grmn #amba #invn
3,"APPLE Intraday Comments - LAST Update - PREMIUM USERS  #aapl #Stockaction #trading #Stocks #MKt
http://t.co/G0TeDLCB9z"
1,@apple IOS8 is still shit
1,"@marxculture @AppleUK_  Thanks, I'll keep it in mind. Tho, I've lately been so unhappy with everything @apple that I'm moving away from them"
3,#Apple: Facing A Challenge From Google's Android - Apple Inc. #AAPL | Seeking Alpha http://t.co/Fd4E1Pv5G4
1,@daulfn @AppleUK_ @Apple I have a Windows lappy which works well and was half the price of the alternative
3,$AAPL has 6 analyst ratings in the last 7 days and 100% are positive. Median target: $135 (16% upside). View: https://t.co/ogs2AlQqHu #AAPL
3,"Apple:Dec 5 Trading Daily Profit $1.57/sh,  Weekly Profits of $18.36/sh  #aapl #Stockaction #trading #Stocks #MKt  
http://t.co/76R4rmUUNo"
1,@Apple: Apple ID should ALWAYS b able to b set up w/out cred card/PayPal/gift card attach to it. You'll still get your $ if they buy. #fail
3,@marxculture @AppleUK_ @Apple Yeh was thinking of doing exactly that. Just wanna install decent unix on ok hardware &amp; live happily everafter
3,Security firm @Kaspersky have issued their (not very cheery) 2015 predictions - and say @Apple Pay to attract attacks http://t.co/7XBrTqSmdq
3,There needs to be an emoji with war paint/football make up on. @apple @emojimakers for fangirls everywhere.
3,@daulfn @AppleUK_ @Apple It's what most of our devs do
3,#AAPL:12 Unexpected Stocks Bringing Buffett and Fellow Billionaires Holiday ...http://t.co/QSxQQPAg2q
3,"#UBS #Increases @Apple [#Apple]'s #iPhone6 Sales, #Revenue And EPS. (#Friday, 5 #December) http://t.co/yEPG0Urogc"
1,RT @cruci0btch: why don't we have harry potter emojis please work on this @Apple
1,@Apple admits deleting rival music store tracks from iPods | Apple | http://t.co/DPH21dL8K3 http://t.co/GEAgJUuRSO
1,"Is it just me, who feels #Yosemite eats more battery &amp; Resource than #Mavericks?  @Apple are you reading this?"
3,BLOCK TRADE detected in #AAPL
1,@apple u used to b cool what happened
1,IT &amp; marketing systems @AmericanExpress cause headaches as card holders with @Apple Pay are being opted in for promotions without permission
1,..@facebook founder @MarkZuckerberg attacks @apple boss @TimCook over 'ridiculous' comments about ads http://t.co/fNKDDbfLzV
5,"RT @_Jamelia_: Dude, @apple is all over the marketing for beats. They have a great marketing team at apple."
3,Foreign Currency Exchange May Be A Headwind For Apple (AAPL) http://t.co/rMPiMkvLsH #AAPL
1,"@ATTCares @senisbs Wireless Family Share plan, one line upgrade just killed my discount. Not sure it was mentioned on @Apple pre-order page."
5,#AAPL RT @cue: Proud to be part of #HourofCode next week. Events at Apple retail stores around the world. http://t.co/ag2ki1ZDVf
5,RT @shannonmmiller: Love the @Apple is supporting #HourOfCode with workshops! :) http://t.co/WP8D0FNjNu
5,RT @shannonmmiller: Love the @Apple is supporting #HourOfCode with workshops! :) http://t.co/WP8D0FNjNu
1,itunes is awful &amp; is ruining my life fix your shit @apple
3,"Buyer's Guide: Deals on MacBook Air, Retina MacBook Pro, iPads, Apple Accessories, and More [Mac Blog] http://t.co/EAC2nK1Nkk #AAPL"
1,"#Forget @Apple [#Apple]'s #iPhone and @SamsungMobileUS #Samsung's Galaxy, the #humble flip phone is back. (#Frid... http://t.co/6CiLI9sCw6"
3,"Apple Inc. price at close, December 05, 2014, is 114.9801. #apple #AAPL"
1,#AAPL:Why can't Apple meet demand for the iPhone 6?...http://t.co/200wqsCPaG
1,"had soo many iPhones and never had a problem, smashed 2 screens in 3 months with this 6 @apple u can suck my balls"
3,Will Apple Pay Consumers $1 Billion For Deleting Their Music? http://t.co/BWtOE7mAo5 #AAPL
1,"RT @taraluv_: had soo many iPhones and never had a problem, smashed 2 screens in 3 months with this 6 @apple u can suck my balls"
1,Is there ever going to be a moment y'all are going to fix the battery? Mine goes from 100% to 22% in an hour. @apple
3,The power of @Apple 's strong branding and store design in one photo http://t.co/Xsjk3LV0ei via @qz.  Article: http://t.co/eDjJ9R61yE
5,Sorry @samsung but I will be taking my smartphone talents over to @Apple. The iphone 6 is more reliable &amp; is better for everyday usage.
1,"#Why #can't @Apple [#Apple] meet demand for the #iPhone6?. (#Friday, 5 #December) http://t.co/dCKe05pVa4"
3,"So, Which #PromoProduct suppliers carry brandable @Apple compliant adapters? #HeadsAreGoingToRoll"
3,"Early Apple Employee Bill Fernandez Shares Details on Steve Jobs, Creation of the Apple II, and More http://t.co/hv7TfDUIm9 #AAPL"
3,"RT @DannyRosin: So, Which #PromoProduct suppliers carry brandable @Apple compliant adapters? #HeadsAreGoingToRoll"
3,"@Apple Maps, where is the #FAUSTADIUM ? @floridaatlantic
@fauathletics #fau #bocaraton #floridaatlantic #floridaa... http://t.co/TvvYCwNprw"
1,Paid $20 for a new 5 charger and couldn't  b more pissed about it... this is rape @apple
1,@Apple my wifi is on &amp; working on everything else but my ipad. i'm so pissed. TWO DAYS it's been like this! GET IT TOGETHER #Apple
3,@DannyRosin @Apple It will be interesting to watch how/if this is resolved.
3,"@brandivatemktg @Apple - Integrity cures most evils. #MFi, in this case, will too!"
3,@DannyRosin @Apple Agreed!
3,"#AAPL:Pale, hoarse Steve Jobs defends Apple in videotaped deposition in iPod...http://t.co/SNmpSx4TDo"
1,OR @phone OR @apple I FUCKING HATE YHIS OHONE OMG IM SO EMBARRASSED
1,Why can't Apple meet demand for the iPhone 6? #AAPL http://t.co/niSTjt22ql
3,"Wow, @Uber's $40B+ valuation would rank it No. 11 in Silicon Valley, behind the likes of @Apple, @Google, @facebook http://t.co/nLFvUJ2Ry7"
5,RT @shannonmmiller: Love the @Apple is supporting #HourOfCode with workshops! :) http://t.co/WP8D0FNjNu
3,Dear @apple bring my phone quicker
1,"IE, Chrome, and Firefox all now have public feature roadmaps...come on, @apple Safari!  Feel free to fork http://t.co/rmkflGk5ZH"
1,morning or should I say evening now that @apple replaced my crimped cord! http://t.co/xoaFbFKqTL
1,"@jacobrossi yeah, seriously... why doesn't @Apple have one?  Good developer relations I think to have one."
3,Apple: Facing A Challenge From Google's Android http://t.co/apqD7jWn7B #AAPL
3,My @apple autocorrect changes Muslim to awesome and I'm okay with that
3,RT @hsmoghul: My @apple autocorrect changes Muslim to awesome and I'm okay with that
3,RT @hsmoghul: My @apple autocorrect changes Muslim to awesome and I'm okay with that
3,jdelaneyxo beta testing the newest @Apple product... The #iSee http://t.co/4hpgNUgOgj
1,hey @apple my 5s keeps glitching :/
3,Apple Antitrust Case Hangs in the Balance - http://t.co/CaHboVHRje @apple #antitrust #wow #ipod
3,"Why @Apple, @Google, and @Facebook have their own programming languages. | https://t.co/G5NZ0xAeVH #code #analysis #web #tech #nerdup"
1,"Hey @Apple, every time you update iTunes you make it worse. And worse. #DontUpdateiTunes"
1,@britt_bumgarner @briannalengy I mean it didn't auto correct so who is really at fault here @apple
3,@JessicaB515 @britt_bumgarner @Apple fight fight fight
1,@briannalengy @JessicaB515 @Apple apple I'm gonna sue you for thatb
3,12 Gift Ideas For The Apple Lover Who Has Everything http://t.co/0RTcyLOsAD @apple #technology
1,Every time I change keyboards this come up. Like wtf @apple get your shit together http://t.co/A9cimyYod8
3,#AAPL:Taser CEO Sees Federal Funding Tripling Body Camera Business...http://t.co/IxDidngk4g
3,Things are happening @apple
